paper_id,title,abstract,in_out,in_out_ignoring_exclcrit2,criteria,has intervention,is on older adults,has tech,has SI,remote,Rand
173,Therapeutic effects of an indoor gardening programme for older people living in nursing homes,"Aims: To explore the activities of daily living and psychological well-being of older people living in nursing homes and also to examine the effectiveness of a gardening programme in enhancing socilaisation and life satisfaction, reducing loneliness and promoting activities of daily living for older people living in nursing homes. Background: Life in nursing homes can mean very limited physical and social activity, leading to further decline in function for many older people. Design: This was a quasi-experimental pre and posttest control group design. Methods: Older people from nursing homes were invited to join the eight week indoor gardening programme (experimental group), while older people in other nursing homes were treated as the control group; they received regular care without the eight week indoor gardening programme. There were 26 older people (25 female and one male; mean age 85 years) in the experimental group and 27 (20 female and seven male; mean age 82 years) in the control group. Demographic data including age, gender, educational level and financial situation were collected, in addition to information regarding life satisfaction, loneliness, physical activity and social network situation, before and after the eight week indoor gardening programme for both the experimental and control groups. Also, details of experimental group subjects' experience of the indoor gardening programme were elicited using open-ended questions. Results: There were significant improvements in life satisfaction and social network and a significant decrease in perception of loneliness for older people in the experimental group after the eight week indoor gardening programme, while the activities of daily living were unchanged for both groups after the programme. Relevance to clinical practice: Given the positive effects of gardening activities, it is suggested that they be promoted more widely among nursing home residents. © 2010 Blackwell Publishing Ltd.",0,0,no tech,1,,,,,0.5471575785
299,Depression: A modifiable factor in fearful older fallers transitioning to frailty?,"Objective Fear of falling is one of the most common fears among community-dwelling older people and is as serious a health problem as falls themselves. Understanding fear of falling in fallers transitioning to frailty may help us identify effective strategies to reduce it in this already vulnerable group of older people. Our aim was to evaluate the psychological factors associated with fear of falling in a group of fallers transitioning to frailty when compared with robust or non-frail fallers. Methods Cross-sectional design where 301 fallers underwent assessment at the Technology Research for Independent Living Clinic in Dublin () is seen. Fear of falling was measured using the Modified Falls Efficacy Scale, and frailty was measured using the Biological Syndrome Model. Psychological measures included assessment of anxiety, depression, loneliness, personality factors and cognition. Results Frailer fallers had increased fear of falling when compared with robust fallers (p < 0.001). Age, female gender and lower cognitive scores were associated with greater fear of falling in the robust group. For frailer fallers, higher depression score was the only factor associated with fear of falling on multivariate analysis. The odds ratio of having case level depressive disorder (CESD-8 ≥ 4) if you were a frailer faller was significantly higher than if you were robust (OR = 2.6, CI 1.3-5.2, p = 0.006). Conclusion Fallers at a transitional level of frailty may represent a particularly vulnerable group psychologically who would benefit most from interventional stratagies with specific intervention components addressing depressive symptoms. Copyright © 2011 John Wiley & Sons, Ltd.",0,0,"not SI, no tech",1,,,,,0.8540101961
103,Factorial Structure and Measurement Invariance of the PANAS in Spanish Older Adults,"Developmental theories suggest age-related changes in the structure of affect. Paradoxically, the internal structure of the Positive and Negative Affect Schedule (PANAS; Watson, Clark, & Tellegen, 1988) has not been tested in Spanish older adults by means of confirmatory factor analysis (CFA) despite it is the most widely used measure of emotional well-being in later life. The aim of this study was to examine competing models of the internal structure of the Spanish version of the PANAS, its measurement invariance, reliability, and external validity. Participants were a representative sample of 585 community-dwelling people aged 60 and over, who also completed depression, loneliness and life satisfaction measures. Results showed that the orthogonal two-factor model with correlated errors (RMSEA = .057, 90% CI [.051, .063], SRMR = .084, CFI = .97, NNFI = .97) was the best fitting solution. Measurement invariance analyses confirmed that the two-independent factor structure can be used across young-old and very old people, as well as in both males and females. It showed good reliability (PA: α = .93, NA: α = .83), criterion, convergent and discriminant validity (p < .01). Our discussion highlights the role of age and culture in the experience and expression of emotions.",0,0,no tech,1,,,,,0.07679666812
235,"Experiential variables influencing play, foot-clasp mounting and adult sexual competence in male rhesus monkeys","(1) It is concluded that foot-clasp mounting, rather than social play, by juvenile rhesus monkeys is the appropriate index of the affectional development essential for normal adult heterosexual behavior in the male monkey. (2) The opportunity for continuous social interaction with peers, lasting at least three months, resulted in increased frequencies of display of foot-clasp mounts and decreased frequencies of social play by juvenile rhesus monkeys. (3) When the opportunity for continuous social experience was provided during the first year of life, the behavioral changes were manifested immediately and when this opportunity was delayed until late in the second year of life, changes in the frequency of play and mounting were correspondingly delayed. (4) Adult heterosexual competence was greatest in males that had the earliest opportunity for continuous social experience, intermediate in males with delayed social experience, and least in males with no opportunity for continuous social experience with peers. (5) Rearing conditions that produced the highest frequencies of foot-clasp mounting were associated with the highest adult heterosexual competence and rearing conditions that produced the highest frequencies of social play were associated with the lowest adult heterosexual competence. © 1979.",0,0,"not OA, not SI",1,,,,,0.6130129046
352,Longevity increased by positive self-perceptions of aging,"This research found that older individuals with more positive self-perceptions of aging, measured up to 23 years earlier, lived 7.5 years longer than those with less positive self-perceptions of aging. This advantage remained after age, gender, socioeconomic status, loneliness, and functional health were included as covariates. It was also found that this effect is partially mediated by will to live. The sample consisted of 660 individuals aged 50 and older who participated in a community-based survey, the Ohio Longitudinal Study of Aging and Retirement (OLSAR). By matching the OLSAR to mortality data recently obtained from the National Death Index, the authors were able to conduct survival analyses. The findings suggest that the self-perceptions of stigmatized groups can influence longevity. Copyright 2002 by the American Psychological Association, Inc.",0,0,"not SI, no tech",1,,,,,0.653645713
358,A concept analysis of malnutrition in the elderly,"Purpose. Malnutrition is a frequent and serious problem in the elderly. Today there is no doubt that malnutrition contributes significantly to morbidity and mortality in the elderly. Unfortunately, the concept of malnutrition in the elderly is poorly defined. The purpose of this paper is to clarify the meaning of malnutrition in the elderly and to develop the theoretical underpinnings, thereby facilitating communication regarding the phenomenon and enhancing research efforts. Scope, sources used. Critical review of literature is the approach used to systematically build and develop the theoretical propositions. Conventional search engines such as Medline, PsyINFO, and CINAHL were used. The bibliography of obtained articles was also reviewed and additional articles identified. Key wards used for searching included malnutrition, geriatric nutrition, nutritional status, nutrition assessment, elderly, ageing, and weight loss. Conclusions. The definition of malnutrition in the elderly is defined as following: faulty or inadequate nutritional status; undernourishment characterized by insufficient dietary intake, poor appetite, muscle wasting and weight loss. In the elderly, malnutrition is an ominous sign. Without intervention, it presents as a downward trajectory leading to poor health and decreased quality of life. Malnutrition in the elderly is a multidimensional concept encompassing physical and psychological elements. It is precipitated by loss, dependency, loneliness and chronic illness and potentially impacts morbidity, mortality and quality of life.",0,0,"not SI, no tech",1,,,,,0.7687108306
218,Desire for attention,"Seeking of attention appears to be intimately bound up with certain principles of motivation, especially the seeking of observable results of action and of optimum levels of stimulation, variety and challenge, and the relationship between results and the cost of achieving them—a high cost will tend to inhibit action but enhance the value subsequently placed upon what is achieved. These principles can be applied to personal relationships: thus friendship can be regarded as a situation involving facilitative feedback between persons, hostility as involving inhibitory feedback and loneliness as occurring when there is no feedback. Which of these situations occurs appears to depend upon the relationships between the costs and benefits of interaction between the persons concerned. The care of psychiatric or senile patients in the community appears likely to impose demands for attention which are unreasonably severe (“costly”). Any attempt to change community attitudes in the hope of securing greater acceptance of such demands appears to be unrealistic. Substantial benefits could probably be attained in many cases from training in skills, especially social skills, which would enable patients to cope more effectively with the world as it is. © 1977, The Royal Australian and New Zealand College of Psychiatrists. All rights reserved.",0,0,no tech,1,,,,,0.8758231095
256,Aging and hearing health: The life-course approach,"Sensory abilities decline with age. More than 5% of the world's population, approximately 360 million people, have disabling hearing loss. In adults, disabling hearing loss is defined by thresholds greater than 40 dBHL in the better hearing ear. Hearing disability is an important issue in geriatric medicine because it is associated with numerous health issues, including accelerated cognitive decline, depression, increased risk of dementia, poorer balance, falls, hospitalizations, and early mortality. There are also social implications, such as reduced communication function, social isolation, loss of autonomy, impaired driving ability, and financial decline. Furthermore, the onset of hearing loss is gradual and subtle, first affecting the detection of high-pitched sounds and with difficulty understanding speech in noisy but not in quiet environments. Consequently, delays in recognizing and seeking help for hearing difficulties are common. Age-related hearing loss has no known cure, and technologies (hearing AIDS, cochlear implants, and assistive devices) improve thresholds but do not restore hearing to normal. Therefore, health care for persons with hearing loss and people within their communication circles requires education and counseling (e.g., increasing knowledge, changing attitudes, and reducing stigma), behavior change (e.g., adapting communication strategies), and environmental modifications (e.g., reducing noise). In this article, we consider the causes, consequences, and magnitude of hearing loss from a life-course perspective. We examine the concept of ""hearing health,"" how to achieve it, and implications for policy and practice. © 2016 The Author 2016.",0,0,not SI,1,,,,,0.8424659823
55,Combatting social isolation and cognitive decline: Play a physical or digital game?,"Two significant problems among the elderly community are those of social isolation and the cognitive decline that occurs as we age. These problems can be readily compounded (for example, reduced levels of attention are associated with an increased risk of falling). Keeping active is commonly advised to reduce these problems - many senior groups exist that meet regularly and engage in activities that encourage social interaction. However, mobility and other problems mean that elderly people may not be able to attend such groups very often, if at all. To address this problem, we set out to create an experience that confers the same benefits (increasing social connectedness and inhibiting cognitive decline) without users having to leave their homes. Our user group selected one of the games they play together, Memory, a game that requires players to closely attend to their experience. We designed and developed a digital multiplayer version of Memory for browser and tablet targeted at elderly users. The game is integrated into a custom social network, and enables users to talk and play without having to be in the same physical space. It also incorporates user-generated content from the social network. A pilot study has been carried out with two user groups across two European countries. It investigates whether the experience of playing a physical game between players in present the same physical space differs significantly from playing in different locations using the digital version of the game. In order to uncover differences, the study compared how intrinsically motivating each experience is. In the study, which uses within-subjects design, the users played Memory with real cards together in the physical space and afterwards completed the Intrinsic Motivation Inventory (IMI). The users also played the digital version of the game via the social network, this time where users are in different locations using a PC, Smart TV, or Tablet, and communicate using VOIP, and afterwards completed the IMI. The data collected was analysed and used to inform semi-structured interviews. This paper presents findings from the pilot study, and from these findings outlines the main study and future work in investigating and improving the game's benefits.",0,0,no SI,1,,,,,0.2147566638
197,The views of older community residents toward mental health problems,"A series of focus groups were conducted at two senior centers and two senior congregated housing developments in the greater Baltimore Metropolitan area in order to examine the views older adults have about mental health services. Among the several themes that emerged from the focus groups were: (a) depression and anxiety were seen as very common in older adults; (b) barriers such as the stigma, cost, fragmentation of services, transportation, and primary care physicians made it difficult to seek care; (c) seniors felt more resilient than younger adults; (d) seniors had a mixed reaction to others experiencing mental health problems; (e) individuals are responsible for their own mental health care; (f) mental health treatment works; and (g) mental health problems could be prevented. Among the recommendations made by the authors are to increase use of senior centers to reduce social isolation and promote health, education and well-being in a nontraditional setting. Also, primary care physicians must be encouraged and educated in the recognition, screening, assessment, treatment and referral for mental health problems in older adults. And lastly, physicians need to understand how the stigma of mental health problems can cause difficulty when older adults speak about mental health issues.",0,0,no tech,1,,,,,0.1836286869
